segment,timestamp,t_in_c,t_iw_c,t_ow_c,r_in_iw,r_iw_ow,r_ow_oa,r_in_oa,c_in,c_w,alpha_ghi_outer_wall,alpha_ghi_inner_wall
train,2018-08-08 22:55:00,23.9724092030716,24.490201011600007,23.51443577503385,0.5404775168862446,0.5763929553155867,0.8372073755694286,2.002577796996561,12.810921824709203,20.0,0.40221870462834625,0.5
train,2018-08-08 23:00:00,23.97200191129649,24.477675533563062,23.46946541963891,0.5347100513455572,0.5751018985219044,0.8359371726110121,2.001563455284371,12.811677137924658,20.0,0.4045168151569506,0.5
train,2018-08-08 23:05:00,23.97153633220437,24.464899744036966,23.425345979416882,0.5290207944158795,0.5738860245564625,0.8346317450675139,2.000591005895768,12.812257664748417,20.0,0.4069632097934466,0.5
train,2018-08-08 23:10:00,23.9713084258104,24.45204068790887,23.382161734917677,0.5232804974044868,0.5727235128968143,0.8332595529201535,1.999638004461284,12.812666210511427,20.0,0.40961774197715795,0.5
train,2018-08-08 23:15:00,23.971361243439052,24.439150723438516,23.33989288254792,0.5174721538363852,0.5716184174065289,0.8318131344081707,1.9987020692730164,12.812888973189725,20.0,0.41249778949421334,0.5
train,2018-08-08 23:20:00,23.971619480201685,24.42622093277507,23.29847361309998,0.511627138223091,0.5705842318404939,0.8302968669304049,1.9977887167133608,12.812909812745602,20.0,0.4155975478411306,0.5
train,2018-08-08 23:25:00,23.97198662839841,24.41322896410921,23.257830824003467,0.5057846094678633,0.569634639135557,0.8287180205008625,1.9969042910266672,12.812715744453637,20.0,0.4189043350709607,0.5
train,2018-08-08 23:30:00,23.972380227601967,24.400157360424174,23.21789812655644,0.4999775172143798,0.5687807989321363,0.8270832266215928,1.9960537781104746,12.812297426206207,20.0,0.42240575422834736,0.5
train,2018-08-08 23:35:00,23.972735107319117,24.386995721429848,23.178617148502266,0.4942316946927045,0.5680314207696707,0.8253980048115132,1.9952408082908395,12.811648419897804,20.0,0.4260910096634112,0.5
train,2018-08-08 23:40:00,23.972995216884375,24.37373660085133,23.13993445288393,0.4885692662656829,0.5673934735308578,0.8236675281785952,1.9944682663080937,12.81076480653827,20.0,0.42994951930329584,0.5
train,2018-08-08 23:45:00,23.973110137984904,24.360373692958856,23.101800322311984,0.48301007640724813,0.5668724668126244,0.8218969474159655,1.9937385523287845,12.809645031797698,20.0,0.43397032641899824,0.5
train,2018-08-08 23:50:00,23.973034741322326,24.34690168393568,23.064168733282056,0.47757186851142847,0.5664725365585871,0.8200913824721274,1.9930536448164102,12.808289712279858,20.0,0.43814218909642,0.5
train,2018-08-08 23:55:00,23.972725387582855,24.33331406341109,23.026996104688592,0.47227166464255865,0.5661965962726101,0.8182563367667839,1.9924152995624227,12.80670181199138,20.0,0.4424526609696349,0.5
train,2018-08-09 00:00:00,23.972140938138377,24.319603628719616,22.990241825099204,0.46712534311718634,0.5660462966272511,0.8163975588414949,1.9918249993431354,12.804886521847196,20.0,0.44688839690456056,0.5
train,2018-08-09 00:05:00,23.971236489447207,24.30575385085087,22.95386869907092,0.4621472610573571,0.5660219586040892,0.8145209020099307,1.9912838776733135,12.802851587091732,20.0,0.4514354615376756,0.5
train,2018-08-09 00:10:00,23.9699872431852,24.291767928018718,22.917843662757754,0.4573494852942347,0.5661227943870883,0.8126319722053609,1.9907927244831123,12.80060571034867,20.0,0.4560802244154811,0.5
train,2018-08-09 00:15:00,23.968366243991962,24.277640679455935,22.88213766878393,0.4527420035834745,0.5663469638250471,0.8107361429966137,1.9903519919592567,12.798158889241474,20.0,0.46080933947904196,0.5
train,2018-08-09 00:20:00,23.96635077438123,24.263367495745666,22.846725283102213,0.4483330083013783,0.5666916900328861,0.808838600138142,1.9899618396702514,12.795522272051114,20.0,0.46560965550366973,0.5
train,2018-08-09 00:25:00,23.963921821152947,24.24894411175009,22.811584452182995,0.4441290630659588,0.5671533606923792,0.8069443526996674,1.9896221611907634,12.792708004070338,20.0,0.4704681970778341,0.5
train,2018-08-09 00:30:00,23.961063761088223,24.23436652136062,22.776696329578463,0.4401351940693298,0.5677276258221688,0.8050582188501467,1.989332600294763,12.789729055647147,20.0,0.4753722040661332,0.5
train,2018-08-09 00:35:00,23.9577641193601,24.219630948709483,22.742045109704993,0.43635496026036047,0.5684094949846025,0.8031848042906027,1.9890925640510442,12.786599046399386,20.0,0.480309189026234,0.5
train,2018-08-09 00:40:00,23.954013329181237,24.204733830174863,22.707617847561814,0.43279052710431065,0.5691934324669189,0.801328483113256,1.9889012358026892,12.783332078029806,20.0,0.48526698937477813,0.5
train,2018-08-09 00:45:00,23.949804479122513,24.189671795730323,22.673404263598393,0.4294427482918073,0.5700734484834296,0.7994933835473174,1.9887575885906328,12.779942580871428,20.0,0.4902338083287809,0.5
train,2018-08-09 00:50:00,23.94513305626909,24.17444165209756,22.639396539428382,0.4263112527601972,0.5710431852843919,0.7976833779564074,1.9886603989158989,12.776445174601745,20.0,0.4951982463518683,0.5
train,2018-08-09 00:55:00,23.93999669528687,24.159040371924288,22.605589109890637,0.4233945339912603,0.5720959977565956,0.7959020759513974,1.988608260751935,12.77285454199374,20.0,0.5,0.5
train,2018-08-09 01:00:00,23.934394939681003,24.143465091121822,22.571978455233037,0.4206900397875323,0.5732250284289907,0.794152819836504,1.9885995998320811,12.769185314525927,20.0,0.5,0.5
train,2018-08-09 01:05:00,23.928539882748375,24.12765189808511,22.539423073681053,0.41819409944621155,0.5744234798545986,0.7924397148782922,1.9886316833247242,12.765450032687722,20.0,0.5,0.5
train,2018-08-09 01:10:00,23.922473278577012,24.111674371284305,22.50790374061395,0.41590127476657196,0.5756849806010726,0.7907657199553868,1.9887020377963358,12.761657649132603,20.0,0.5,0.5
train,2018-08-09 01:15:00,23.91619594871823,24.095547343144975,22.477405211154274,0.4138047123913741,0.577003461725541,0.7891327255631674,1.9888083054499142,12.757816103245371,20.0,0.5,0.5
train,2018-08-09 01:20:00,23.909712319994256,24.079286872898386,22.447914565967217,0.41189712479715346,0.578372940947926,0.787542123483373,1.9889482561160639,12.753933232654461,20.0,0.5,0.5
train,2018-08-09 01:25:00,23.903027968641812,24.062908533789617,22.419420549678613,0.41017127030923534,0.5797873521068858,0.7859951504876063,1.9891197597878614,12.750017364968201,20.0,0.5,0.5
train,2018-08-09 01:30:00,23.896148720704232,24.046426811342624,22.391913268789494,0.4086200525513597,0.5812404973822066,0.7844930025801959,1.9893207528657828,12.746077471865789,20.0,0.5,0.5
train,2018-08-09 01:35:00,23.88908060467167,24.02985514829762,22.365384031465865,0.4072364523915544,0.5827260952476959,0.7830368193331463,1.989549214339649,12.742123035297123,20.0,0.5,0.5
train,2018-08-09 01:40:00,23.881829989893433,24.01320614729437,22.339825199674788,0.4060134462218436,0.5842378567259136,0.7816276403233151,1.989803151440294,12.738163840641644,20.0,0.5,0.5
train,2018-08-09 01:45:00,23.874403664232855,23.996491737489116,22.31523002549377,0.40494395534116095,0.5857695549288752,0.780266373051692,1.9900805906349468,12.734209794219405,20.0,0.5,0.5
train,2018-08-09 01:50:00,23.866808849362897,23.979723297136616,22.291592480477867,0.40402082141607537,0.5873150837173106,0.7789537732076366,1.9903795721978186,12.7302707727931,20.0,0.5,0.5
train,2018-08-09 01:55:00,23.859053200026842,23.962911764653708,22.268907087343855,0.4032367975356689,0.5888685109593673,0.7776904300883004,1.9906981484194182,12.726356488569982,20.0,0.5,0.5
train,2018-08-09 02:00:00,23.851144758949697,23.94606771119964,22.24716875802896,0.4025845549528359,0.5904241191769329,0.7764767619609526,1.9910343833624196,12.722476386793508,20.0,0.5,0.5
train,2018-08-09 02:05:00,23.842570209153596,23.92920870048078,22.22460720341545,0.4020600546000299,0.5919748119384751,0.7753135525317625,1.9913875412571755,12.718648437962225,20.0,0.5,0.5
train,2018-08-09 02:10:00,23.833324918271963,23.91228198539262,22.2012562739725,0.40165843133096035,0.5935125293098686,0.774202436708779,1.9917560704400943,12.714892816223644,20.0,0.5,0.5
train,2018-08-09 02:15:00,23.82341902999212,23.895257434860863,22.177148463834683,0.4013736258010066,0.5950291087790205,0.7731451832858988,1.9921378636066736,12.711229219413429,20.0,0.5,0.5
train,2018-08-09 02:20:00,23.812862381449182,23.878106718014614,22.152315061170675,0.40119834058564957,0.5965169815819165,0.7721431647452905,1.992530486922352,12.70767519648384,20.0,0.5,0.5
train,2018-08-09 02:25:00,23.80166568800037,23.860804379859125,22.126786054436366,0.40112425932374896,0.597969455146948,0.7711971869819827,1.992931332053144,12.70424554333991,20.0,0.5,0.5
train,2018-08-09 02:30:00,23.789840626550387,23.843327953019934,22.10059006680155,0.401142338472228,0.5993807500596579,0.7703075037680417,1.9933377099662106,12.700952309831662,20.0,0.5,0.5
train,2018-08-09 02:35:00,23.777368913732634,23.825621304184327,22.07375485956484,0.4012429850288362,0.6007443831507066,0.7694747970613091,1.9937464285270974,12.697809094086367,20.0,0.5,0.5
train,2018-08-09 02:40:00,23.76428364032853,23.807695049631835,22.046306789062506,0.40141614001180825,0.6020549374351862,0.7686991372090806,1.9941543846025835,12.69482591844845,20.0,0.5,0.5
train,2018-08-09 02:45:00,23.750596897344813,23.78953330743931,22.01827077096276,0.4016516846705089,0.6033086369749684,0.7679796580740034,1.9945588030921624,12.69200859690116,19.999555626740932,0.5,0.5
train,2018-08-09 02:50:00,23.736308965730395,23.771106837298902,21.98966975659221,0.4019395922036275,0.6045023001633386,0.7673152128330933,1.994956980772444,12.689361429758046,19.998524024249416,0.5,0.5
train,2018-08-09 02:55:00,23.72144334767786,23.75241780074181,21.96052520109981,0.4022700211084648,0.6056332707180385,0.7667044566874173,1.9953463227810133,12.686887011269,19.996992182180517,0.5,0.5
train,2018-08-09 03:00:00,23.706012133848105,23.733455476191416,21.930857460996066,0.4026334897431743,0.6066995677173174,0.7661457607451895,1.9957244267555798,12.684586186053439,19.99504486510014,0.5,0.5
train,2018-08-09 03:05:00,23.689430755282526,23.71412907083514,21.898896382010914,0.40302177157495633,0.6076958454358307,0.7656391601018816,1.9960885698351383,12.682470406529008,19.992756448556257,0.5,0.5
train,2018-08-09 03:10:00,23.671753629009,23.694442730311735,21.86470252918977,0.40342556905065946,0.6086170233817096,0.7651845760119073,1.9964356762078264,12.680548480783662,19.990209295062993,0.5,0.5
train,2018-08-09 03:15:00,23.652993581631744,23.674350683726566,21.82833422161243,0.40383544670922944,0.6094596721110059,0.7647810903554454,1.9967629139002883,12.678824448170113,19.98748814613729,0.5,0.5
train,2018-08-09 03:20:00,23.633165191357875,23.653812797531742,21.789847323181974,0.40424215653058104,0.6102217724229358,0.7644271239054089,1.997067735933998,12.677298310928418,19.984677300267755,0.5,0.5
train,2018-08-09 03:25:00,23.612283033519546,23.63279276711549,21.749295652503168,0.40463669360852633,0.6109021513187474,0.764120743118962,1.997347768333278,12.675967379548558,19.981859816305548,0.5,0.5
train,2018-08-09 03:30:00,23.590360649540276,23.61125694754933,21.706731303790367,0.4050103196637196,0.6115001125828756,0.7638598439363712,1.9976007405730551,12.67482713911578,19.97911722005245,0.5,0.5
train,2018-08-09 03:35:00,23.56744010951414,23.589208967380042,21.66220370908346,0.40535578940865835,0.6120170561893159,0.7636414810018681,1.9978252532687721,12.673868179817243,19.976520190299084,0.5,0.5
train,2018-08-09 03:40:00,23.5435139250844,23.566593500294232,21.615760977338226,0.4056662930134351,0.6124543117580898,0.7634628306040088,1.9980199368366678,12.673080949508796,19.97413628050659,0.5,0.5
train,2018-08-09 03:45:00,23.518597312844392,23.54338745308386,21.56744947987474,0.4059357218580321,0.6128134824713795,0.7633210449364365,1.9981836369258947,12.672454948101928,19.97202788056523,0.5,0.5
train,2018-08-09 03:50:00,23.492717569944933,23.51958537382204,21.51731397890371,0.40615893877109127,0.6130966932225379,0.7632131612553886,1.998315564887441,12.671978359509374,19.97025004131092,0.5,0.5
train,2018-08-09 03:55:00,23.465874547090998,23.495150820464357,21.465398462055308,0.40633094968272504,0.6133054308317702,0.7631365405631572,1.9984147854820669,12.671640217722727,19.96885714919167,0.5,0.5
train,2018-08-09 04:00:00,23.438076915912152,23.47006210301048,21.411746011278655,0.4064469524097042,0.613440688388243,0.7630887753207355,1.9984802801393793,12.671429982482044,19.9679028100261,0.5,0.5
train,2018-08-09 04:05:00,23.4065413611531,23.43995560936245,21.35916394180995,0.40640691578958515,0.6133958602972863,0.7631040593880217,1.9984582763411465,12.671494684147003,19.96823577575189,0.49990829294872746,0.4999908173615151
train,2018-08-09 04:10:00,23.374261892355406,23.408807905162035,21.307656085329114,0.40614793805873334,0.6131152840969114,0.7631963880949121,1.9983192255330036,12.671869461211045,19.970411039199913,0.4993363452311734,0.49993584231376165
train,2018-08-09 04:15:00,23.341237676756986,23.376655849179517,21.25720491545605,0.40566378985496077,0.6126043054756158,0.7633586189120414,1.9980645017569763,12.672498939143647,19.974515431495387,0.49829963030147567,0.4998415513871395
train,2018-08-09 04:20:00,23.307441049359824,23.343467905644907,21.207774351440907,0.40497021030623526,0.6118870165495137,0.763578286807516,1.9977061172911135,12.673309816023735,19.980446479374237,0.49685255454329513,0.49971909965327904
train,2018-08-09 04:25:00,23.27305767734216,23.30947124950288,21.159323151437146,0.4040909907953147,0.610990988364443,0.7638428787413233,1.9972589524333169,12.67423568321566,19.98802803339761,0.49505707114145653,0.4995806542913473
train,2018-08-09 04:30:00,23.238168738326802,23.27475887745523,21.11181142913679,0.4030507415535366,0.6099407900599771,0.7641417857469108,1.9967372084726653,12.675223503545672,19.997071738240372,0.4929690982741272,0.4994378441067825
train,2018-08-09 04:35:00,23.202841837773065,23.239409777512225,21.065201648534238,0.40187231272173235,0.6087564126543829,0.7644665554648841,1.996153351811638,12.676233262315275,20.0,0.4906352100102931,0.49930138022366266
train,2018-08-09 04:40:00,23.167132178929347,23.20347878755811,21.019441432288588,0.4005764950577352,0.6074538205624964,0.7648105131239445,1.9955181931903276,12.677235390743524,20.0,0.48809369944139247,0.49918112726459635
train,2018-08-09 04:45:00,23.131084422786667,23.167015425754872,20.974489281155137,0.39918208535527894,0.60604565176338,0.7651683856177495,1.994841097252445,12.678208463183,20.0,0.48537596486488155,0.4990862227402184
train,2018-08-09 04:50:00,23.094738888613946,23.13006876044698,20.93031210559758,0.3977071041143124,0.604542912103852,0.7655357269954404,1.9941307031075477,12.67913669337621,20.0,0.4825098020067493,0.4990252395999148
train,2018-08-09 04:55:00,23.058133050447054,23.092684135876926,20.88687793002451,0.39616891513948715,0.6029554770464763,0.7659087127075691,1.9933950680925892,12.680008796912686,20.0,0.47952031613477075,0.4990061694573008
train,2018-08-09 05:00:00,23.021301495023764,23.05490333888557,20.84415594615967,0.39458400478429956,0.6012921861200675,0.7662840534452084,1.992641630965896,12.680817268208328,20.0,0.47643005314708275,0.49903637991947464
